Player,Tm,Pos,Type,Class,Details
Ross Travis,IND,TE,Knee,I-R,Travis has been designated for injured reserve due to a torn ACL.
Tyquan Lewis,IND,DT,Foot,I-R,Lewis is on injured reserve while dealing with a foot injury and is expected to miss the first eight weeks of the season.
Malik Hooker,IND,S,Back,probable,Hooker has a back injury but is on track to play against the Jets on Sunday.
Nate Hairston,IND,CB,Ankle,probable,Hairston was held out of the previous game with an ankle injury but is on tract to be active Sunday against the Jets.
Denzelle Good,IND,T,Personal,probable,Good is away from the team due to a personal matter but is expected to return against the Jets on Sunday.
Anthony Walker,IND,LB,Concussion,probable,Walker departed the previous game with a concussion but is likely to be available against the Jets on Sunday.
Eric Ebron,IND,TE,Lower Body,probable,"Ebron exited the last game with injuries to his shin, quadriceps, ankle and knee. They are not expected to affect his status for Sunday's matchup against the Jets."
Marlon Mack,IND,RB,Foot,probable,Mack has sat out the previous three game with foot and hamstring injuries. He is likely to return to action against the Jets on Sunday.
Matthias Farley,IND,S,Shoulder,questionable,"Farley suffered injuries to his shoulder, groin and wrist in the last game and it is uncertain if it will prevent him from playing Sunday against the Jets."
Hassan Ridgeway,IND,DT,Calf,probable,Ridgeway has missed the past three games with a calf injury but is likely to return Sunday against the Jets.
Jack Doyle,IND,TE,Hip,doubtful,Doyle has been held out of the past three games with a hip injury and is not expected to return to the lineup against the Jets on Sunday.
Ryan Kelly,IND,C,Calf,questionable,"Kelly hurt his calf, leaving his status hazy for Sunday's clash against the Jets."
T.Y. Hilton,IND,WR,Hamstring,doubtful,Hilton sat out the last game due to hamstring and chest injuries. It is unlikely he will be available Sunday against the Jets.
Quincy Wilson,IND,CB,Concussion,probable,Wilson has missed his last three games due to a concussion but is expected to suit up Sunday against the Jets.
Matt Slauson,IND,C,Back,I-R,Slauson has landed on the injured reserve list due to two cracked vertebrae in his back.
Kenny Moore,IND,CB,Concussion,probable,Moore II was absent from the lineup during the previous game due to a concussion but is on track to be cleared in time for Sunday's matchup against the Jets.
Anthony Castonzo,IND,T,Hamstring,probable,Castonzo has sat out the previous five games with a hamstring injury but is lining up to make his season debut Sunday against the Jets.
Denico Autry,IND,DT,Hamstring,questionable,Autry was lifted from previous game due to a hamstring injury and his availability against the Jets on Sunday has yet to be established.
Darius Leonard,IND,LB,Ankle,probable,Leonard missed the previous game due to an ankle injury but is likely to be in the lineup against the Jets on Sunday.
