Player,Tm,Pos,Type,Class,Details
Jamar Taylor,ARI,CB,Back,questionable,Taylor is dealing with a back injury and it is unknown if he will suit up Thursday against the Broncos.
Sam Bradford,ARI,QB,Pectoral,questionable,Bradford has missed the past three games due to a pectoral injury and it is unclear if he will return Thursday against the Broncos.
Budda Baker,ARI,S,Wrist,questionable,Baker is nursing a wrist injury and it is uncertain if he will partake in Thursday's game against the Broncos.
Justin Pugh,ARI,OL,Hand,questionable,Pugh left the previous game with a broken hand and his status for Thursday's contest against the Broncos is in question.
JJ Nelson,ARI,WR,Back,questionable,Nelson hurt his back and it has yet to be determined if it will prevent him from suiting up against the Broncos on Thursday.
Chandler Jones,ARI,DE,Groin,questionable,Jones was confined to a limited role in practice due to a groin injury and his status for Thursday's game against the Broncos is clouded.
D.J. Humphries,ARI,OL,Knee,questionable,Humphries is tending to a knee injury and it has yet to be established if he will be available against the Broncos on Thursday.
Markus Golden,ARI,DE,Knee,questionable,Golden is bothered by a knee injury and it is undetermined if he will take part in Thursday's tilt against the Broncos.
Larry Fitzgerald,ARI,WR,Back,questionable,Fitzgerald has a back injury and it is unclear if he will play against the Broncos on Thursday.
Jeremy Vujnovich,ARI,G,Hamstring,questionable,Vujnovich exited the last game due to a hamstring injury and it is uncertain if he will suit up Thursday against the Broncos.
Josh Bynes,ARI,LB,Wrist,questionable,Bynes is battling a wrist injury and it is undetermined if he will participate in Thursday's matchup against the Broncos.
Andre Smith,ARI,OL,Hamstring,questionable,Smith injured his hamstring and it is uncertain if it will hinder his availability against the Broncos on Thursday.
Tre Boston,ARI,S,Shoulder,questionable,Boston has injuries to his shoulder and ribs. It is unclear if he will play against the Broncos on Thursday.
Trent Sherfield,ARI,WR,Illness,questionable,Sherfield missed the last game due to an illness and it is unknown if he will take the field against the Broncos on Thursday.
D.J. Foster,ARI,RB,Knee,I-R,Foster has been placed on injured reserve after he tore his ACL and MCL in his knee.
A.Q. Shipley,ARI,OL,Knee,I-R,Shipley is on injured reserve after suffering a torn right ACL.
Datone Jones,DAL,DE,Hamstring,I-R,Jones has landed on the injured reserve list due to a hamstring injury.
Parker Ehinger,DAL,G,Knee,I-R,Ehinger is on injured reserve with a knee injury and it is yet to be determined if he will be activated against the Titans in Week 9.
Noah Brown,DAL,WR,Hamstring,I-R,Brown has been designated for injured reserve with a hamstring injury and it is undetermined if he will make his season debut against the Titans in Week 9.
Tavon Austin,DAL,WR,Groin,doubtful,Austin departed the previous game due to a groin strain and his status for Week 7 against the Redskins is in doubt.
Sean Lee,DAL,LB,Hamstring,questionable,Lee suffered a substantial hamstring injury and it is unclear if he will return to action against the Redskins in Week 7.
Brice Butler,DAL,WR,Groin,questionable,Butler sat out the previous game due to a groin injury and it is uncertain if he will be available Week 7 against the Redskins.
Joe Thomas,DAL,LB,Foot,questionable,Thomas missed the last game with a foot injury and it is unknown if he will take the field against the Redskins during Week 7.
Terrance Williams,DAL,WR,Foot,I-R,Williams is on injured reserve while recovering from surgery to repair a right foot injury.
Travis Frederick,DAL,C,Illness,I-R,Frederick in on the injured reserve list as he has been diagnosed with a condition known as Guillain Barre Syndrome that impacts the autoimmune system. It is unknown if he will be activated in Week 15 against the Colts.
Jameill Showers,DAL,S,Knee,I-R,Showers is on injured reserve due to a torn ACL.
Marcus Martin,DAL,G,Toe,I-R,Martin has been designated for the injured reserve list due to a ligament tear in his right big toe.
