,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK,AVG LINE,OFF RK (YDS),OFF YDS/G,PTS FOR/G,DEF RK (YDS),YDS ALWD/G,PTS ALWD/G,H/A,Total Inj,Non-IR,IR,Opp,Winner
13,Denver Broncos,2,4,0,0.33299999999999996,0.5,0.0,0.5,0.25,120,154,-34,-4,-2.5,10.0,387.7,20.0,28,403.8,25.7,0.0,16.0,8.0,8.0,Arizona Cardinals,
14,Washington Redskins,3,2,0,0.6,0.6666666666666666,0.5,1.0,0.75,106,104,2,1,-1.5,29.0,344.0,21.2,2,326.2,20.8,1.0,17.0,6.0,11.0,Dallas Cowboys,
15,Dallas Cowboys,3,3,0,0.5,1.0,0.0,1.0,0.5,123,103,20,1,1.5,25.0,319.5,20.5,9,315.2,17.2,0.0,12.0,4.0,8.0,Washington Redskins,
16,Philadelphia Eagles,3,3,0,0.5,0.6666666666666666,0.3333333333333333,1.0,0.5,137,117,20,1,-4.3,17.0,366.3,22.8,15,352.8,19.5,1.0,16.0,7.0,9.0,Carolina Panthers,
17,New York Giants,1,5,0,0.16699999999999998,0.0,0.3333333333333333,0.0,0.0,117,162,-45,-3,6.0,21.0,348.3,19.5,17,358.0,27.0,0.0,14.0,5.0,9.0,Atlanta Falcons,
18,Chicago Bears,3,2,0,0.6,1.0,0.3333333333333333,0.0,0.75,139,96,43,-1,3.25,26.0,366.2,27.8,3,343.8,19.2,1.0,8.0,3.0,5.0,New England Patriots,
19,Minnesota Vikings,3,2,1,0.583,0.6666666666666666,0.5,1.0,0.75,140,148,-8,2,-3.0,8.0,391.2,23.3,18,359.8,24.7,0.0,13.0,6.0,7.0,New York Jets,
20,Detroit Lions,2,3,0,0.4,0.6666666666666666,0.0,1.0,0.3333333333333333,125,137,-12,1,nan,27.0,365.2,25.0,5,367.8,27.4,0.0,nan,nan,nan,Miami Dolphins,
21,New Orleans Saints,4,1,0,0.8,0.6666666666666666,1.0,0.5,0.75,180,140,40,4,2.5,19.0,424.0,36.0,7,369.0,28.0,0.0,12.0,6.0,6.0,Baltimore Ravens,
22,Carolina Panthers,3,2,0,0.6,1.0,0.0,0.0,0.5,121,114,7,-1,4.3,28.0,361.8,24.2,4,358.0,22.8,0.0,12.0,3.0,9.0,Philadelphia Eagles,
23,Tampa Bay Buccaneers,2,3,0,0.4,0.5,0.3333333333333333,0.5,0.5,141,173,-32,-3,-3.0,13.0,448.6,28.2,19,439.8,34.6,1.0,12.0,4.0,8.0,Cleveland Browns,
24,Atlanta Falcons,2,4,0,0.33299999999999996,0.5,0.0,0.6666666666666666,0.5,167,192,-25,1,-6.0,6.0,397.2,27.8,31,417.5,32.0,1.0,11.0,7.0,4.0,New York Giants,
25,Los Angeles Rams,6,0,0,1.0,1.0,1.0,1.0,1.0,196,118,78,6,-6.5,1.0,464.3,32.7,14,344.0,19.7,0.0,13.0,5.0,8.0,San Francisco 49ers,
26,Arizona Cardinals,1,5,0,0.16699999999999998,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,82,139,-57,-1,2.5,32.0,220.5,13.7,25,394.3,23.2,1.0,21.0,16.0,5.0,Denver Broncos,
27,San Francisco 49ers,1,5,0,0.16699999999999998,0.5,0.0,0.0,0.25,148,179,-31,-4,6.5,11.0,381.8,24.7,20,377.2,29.8,1.0,12.0,6.0,6.0,Los Angeles Rams,
